"source_id","year","title","venue","topic","existing_work","project_difference","evidence_strength","allowed_novelty_claim","forbidden_overreach","url","doi","peer_review_status","study_design_level","source_fitness_grade"
"S01","2024","Accurate Spatial Gene Expression Prediction by Integrating Multi-Resolution Features","CVPR","H&E到空间基因表达；多尺度","TRIPLEX融合spot、局部邻域与全片尺度特征，并以PCC、MSE、MAE评价","PFMval预测固定30个通路连续值，患者数更少，任务不是大规模基因级预测","A；直接、多数据集、同行评议","可声称多尺度形态上下文是H&E到表达预测的已验证设计方向","不可声称TRIPLEX已证明PFMval或30通路任务必然获益","https://openaccess.thecvf.com/content/CVPR2024/html/Chung_Accurate_Spatial_Gene_Expression_Prediction_by_Integrating_Multi-Resolution_Features_CVPR_2024_paper.html","","peer-reviewed conference","VI","A"
"S02","2024","HEST-1k: A Dataset for Spatial Transcriptomics and Histology Image Analysis","NeurIPS Datasets and Benchmarks","数据集；外部基准","汇集1229个ST profile、153个队列、26个器官及约210万表达-形态配对","PFMval为7患者、固定通路、小样本本地任务，不能等同HEST规模","A；大型基准资源、同行评议","可声称跨队列、跨器官和统一benchmark是该领域的重要评价需求","不可声称小队列内部结果因此具备外部泛化性","https://proceedings.neurips.cc/paper_files/paper/2024/hash/60a899cc31f763be0bde781a75e04458-Abstract-Datasets_and_Benchmarks_Track.html","10.52202/079017-1704","peer-reviewed conference","VI","A"
"S03","2025","Benchmarking the translational potential of spatial gene expression prediction from histology","Nature Communications","系统基准；评价指标","比较11种方法、5个数据集和28项指标，并包含TCGA外部与下游评价","PFMval为通路级固定输出，不能直接套用基因筛选或排行榜","A；直接系统基准、同行评议","可声称单一PCC不足，应联合误差、稳健性、外部和下游指标","不可声称任一方法在PFMval上天然SOTA或文献数值可横向直接比较；该基准以test-set选择最佳fold的潜在乐观偏差需披露并核查","https://www.nature.com/articles/s41467-025-56618-y","10.1038/s41467-025-56618-y","peer-reviewed journal","VI","A"
"S04","2024","Inferring super-resolution tissue architecture by integrating spatial transcriptomics with histology","Nature Biotechnology","超分辨表达；层级特征","iStar利用层级图像特征和配对ST推断近单细胞表达","PFMval不以超分辨重建为目标，且输出为通路分数","A-；直接但任务不同、同行评议","可声称层级图像特征和组织尺度建模已有正式先例","不可声称无配对ST时仍具有相同超分辨性能","https://www.nature.com/articles/s41587-023-02019-9","10.1038/s41587-023-02019-9","peer-reviewed journal","VI","A-"
"S05","2025","A deep learning-based multiscale integration of spatial omics with tumor morphology","Nature Communications","多尺度融合；预后","MISO联合WSI与Visium进行空间表达预测并探索预后相关空间模式","其分子输入为真实空间组学，而PFMval通路可能由同一H&E派生","A-；多任务、同行评议","可声称表达预测与下游预后评价可构成连续研究链","不可把预测关联解释为因果机制或独立模态增益","https://www.nature.com/articles/s41467-025-66691-y","10.1038/s41467-025-66691-y","peer-reviewed journal","VI","A-"
"S06","2025","Spatial gene expression at single-cell resolution from histology using deep learning with GHIST","Nature Methods","单细胞表达预测","GHIST利用亚细胞ST和多层生物信息预测单细胞空间表达","PFMval是patch或区域级30通路连续回归，不是数百基因的单细胞任务","A；高质量直接研究、同行评议","可声称H&E形态含有可用于细粒度表达推断的信号","不可声称GHIST已验证PFMval的通路校准或临床效用","https://www.nature.com/articles/s41592-025-02795-z","10.1038/s41592-025-02795-z","peer-reviewed journal","VI","A"
"S07","2026","sCellST predicts single-cell gene expression from H&E images","Nature Communications","单细胞表达；留出验证","sCellST从细胞核形态预测表达并进行留出评估","PFMval患者少、输出通路且组织与癌种不同","A-；直接、同行评议","可声称核形态到表达映射及留出样本评价已有先例","不可直接外推跨癌种或30通路效果","https://www.nature.com/articles/s41467-025-67965-1","10.1038/s41467-025-67965-1","peer-reviewed journal","VI","A-"
"S08","2025","STPath: a generative foundation model for integrating spatial transcriptomics and whole-slide images","npj Digital Medicine","生成式预训练；基础模型","STPath在983张配对切片、38984基因、17器官上进行几何感知掩码生成预训练","PFMval的数据量不足以复现其预训练规模，且任务为30通路小样本回归","A；大规模、多任务、同行评议","可声称掩码生成预训练和跨器官benchmark是成熟方向","不可据此建议在7患者数据上从头训练基础模型","https://www.nature.com/articles/s41746-025-02020-3","10.1038/s41746-025-02020-3","peer-reviewed journal","VI","A"
"S09","2026","Spatial transcriptomics expression prediction from histopathology based on cross-modal mask reconstruction and contrastive learning","Medical Image Analysis","对比学习；掩码重建","CMRCNet结合跨模态对齐和掩码重建并在多疾病数据评价","PFMval为通路级小队列，拟议损失和输出均不同","A-；多数据集、同行评议","可声称对比对齐与掩码重建可以作为联合预训练先例","不可声称特定soft-geometric损失已被该文验证","https://pubmed.ncbi.nlm.nih.gov/41330094/","10.1016/j.media.2025.103889","peer-reviewed journal","VI","A-"
"S10","2025","Spatial histology and gene-expression representation and generative learning via online self-distillation contrastive learning","Briefings in Bioinformatics","自蒸馏对比；表达生成","Magic采用动量伪目标、自蒸馏对比和Transformer解码，在独立切片评价300基因","PFMval只有7患者并预测30通路，训练规模和输出维度明显不同","B+；直接但域较窄、同行评议","可声称独立切片评价和噪声稳健对比目标已有正式先例","不可声称其稳定性可直接迁移到7患者队列","https://pubmed.ncbi.nlm.nih.gov/40618351/","10.1093/bib/bbaf317","peer-reviewed journal","VI","B+"
