claim_id,claim_zh,claim_en,data_source,governance_status,evidence_scope,allowed_expression_zh,allowed_expression_en,forbidden_overreach,target_figure_table,citation_or_path
EV-001,"W007 已完成 FBR、RCC、HCR、CPGCR 四臂并正式接纳","W007 completed and formally accepted the FBR, RCC, HCR, and CPGCR arms","Experiment Registry + W007 imported predictions","accepted","single-seed Phase 2 evidence","四臂已在绑定源码与统一协议下运行并接纳","The four arms were run and accepted under source-bound, matched protocols","不得写成 CPGCR 性能最佳或显著优于其余臂","Table 1; Figure 2","experiments/experiment_registry.json"
EV-002,"W007 四臂差异小且指标方向混合","W007 arm differences were small and metric-dependent","Experiment Registry four_arm_results","accepted","single seed; internal 6 patients; external case E1 1 patient","透明报告各指标赢家不同，不以单一指标决定优胜","Report that metric winners differed and no arm dominated overall","不得把 spots 当独立患者；不得声称稳定增益","Table 1; Figure 3","experiments/experiment_registry.json"
EV-003,"作者将 CPGCR 定位为待验证方法候选，而非性能赢家","The authors position CPGCR as a candidate for validation rather than a performance winner","W007 source-bound code + accepted four-arm results + narrative review","accepted method facts; pending_user_review narrative positioning","method fact; future shape compatibility only","可写连续通路几何和匹配消融是候选动机；30 维输出仅具未来接口形状兼容性","State continuous pathway geometry and matched ablations as the motivation; the 30-dimensional output is only shape-compatible with a future interface","不得写 first-ever、best-performing、已选择为下游模型或已与 Phase 3 数据绑定","Discussion; Figure 2","01_指南与解读/部署方案/W007_Phase2核心创新方法_论文强化与必要补充实验部署方案_20260826.md"
EV-004,"W007 的 CPGCR 使用连续 30 维通路几何软目标、冻结 B0 和零起点残差","W007 CPGCR uses a continuous 30-dimensional pathway-geometry soft target, a frozen B0 anchor, and a zero-start residual","source commits 7be042a/24a87c/0f81be3 + critical contract","accepted result with historical source-bound implementation","method fact","按绑定 commit 描述实现，并说明当前 main 不含完整可执行 W007 训练树","Describe the implementation at the bound commits and disclose that current main lacks the full runnable W007 training tree","不得写当前 main 可直接重训 W007","Methods; Figure 2","git show 0f81be3:experiments/workspaces/W007/mpp2_cpgcr_probe/"
EV-005,"W004 四包组成一个正式接纳的四臂结果组","The four W004 bundles form one formally accepted four-arm result group","W004 result_group + group acceptance event","accepted","COMPATIBILITY_ONLY","可写四臂组已通过治理核验并被受限接纳","The four-arm group passed governance verification and was accepted with a restricted scope","不得移除 COMPATIBILITY_ONLY 限定","Table 2; Figure 4","project_state/governance/w004_stage2_reconciliation_receipt_v002_20260827.json"
EV-006,"A002-A001 的 pCR 平均 per-fit AUC 差值为 +0.023182","The A002-A001 mean per-fit pCR AUC difference was +0.023182","W004 four-arm metrics + accepted group contrast","accepted","COMPATIBILITY_ONLY; repeated slide-level holdout","支持进一步患者独立验证的数值信号","A numerical signal supporting further patient-independent validation","不得称患者独立泛化、显著改善或临床效用","Table 2; Figure 4","experiments/experiment_registry.json"
EV-007,"A002-A001 的 MPR 平均 per-fit AUC 差值为 +0.003958","The A002-A001 mean per-fit MPR AUC difference was +0.003958","W004 four-arm metrics + accepted group contrast","accepted","COMPATIBILITY_ONLY; secondary endpoint","证据较弱、仅作描述性结果","Weak evidence reported descriptively","不得与 pCR 合并或称稳定增益","Table 2","experiments/experiment_registry.json"
EV-008,"A003-A004 的 pCR/MPR AUC 差值为 +0.002955/-0.000625","The A003-A004 pCR/MPR AUC differences were +0.002955/-0.000625","W004 spatial identity vs coordinate-shuffle contrast","accepted","COMPATIBILITY_ONLY","不支持稳定空间增益","The comparison did not support a stable spatial gain","不得把 pCR 的微小正差值单独包装为空间机制成功","Table 2; Figure 4","experiments/experiment_registry.json"
EV-009,"W004 输入是 legacy z-score compatibility，不是 raw MPP2","W004 used legacy z-score compatibility input rather than raw MPP2 output","W004 bundles and critical contract","accepted","COMPATIBILITY_ONLY","明确写 legacy compatibility pathway input","State explicitly that legacy compatibility pathway input was used","raw_mpp2_claim 必须为 false","Methods; Limitations","project_state/governance/phase3_stage2_v002_critical_contract_20260807.json"
EV-010,"W004 划分存在患者重叠，不能称患者独立 OOF","W004 splits contain patient overlap and are not patient-independent OOF","W004 repeated_holdout_audit + prediction tables","accepted limitation","slide-level repeated holdout","写为重复切片级留出，case 聚合仅为 post hoc 描述","Describe repeated slide-level holdout; case aggregation is post hoc only","不得把 20 个 seed-fold 当 20 个独立样本或患者级 OOF","Methods; Figure 4 caption","automation/returns/W004/*/artifacts/metrics.json"
